,date,jodi_count,richard_count
0,2018-04-19,46.0,40.0
1,2018-04-20,10.0,7.0
2,2018-04-21,9.0,4.0
3,2018-04-27,31.0,30.0
4,2018-04-28,81.0,80.0
5,2018-04-29,255.0,227.0
6,2018-04-30,31.0,28.0
7,2018-05-01,1.0,0.0
8,2018-05-02,40.0,48.0
9,2018-05-03,49.0,53.0
10,2018-05-04,120.0,133.0
11,2018-05-05,76.0,77.0
12,2018-05-06,90.0,96.0
13,2018-05-07,84.0,77.0
14,2018-05-08,39.0,33.0
15,2018-05-09,64.0,62.0
16,2018-05-10,83.0,83.0
17,2018-05-11,44.0,53.0
18,2018-05-12,47.0,47.0
19,2018-05-14,94.0,92.0
20,2018-05-15,82.0,85.0
21,2018-05-16,95.0,84.0
22,2018-05-17,3.0,3.0
23,2018-05-18,40.0,52.0
24,2018-05-22,92.0,102.0
25,2018-05-23,11.0,11.0
26,2018-05-24,65.0,68.0
27,2018-05-25,14.0,16.0
28,2018-05-27,109.0,130.0
29,2018-05-28,81.0,66.0
30,2018-05-29,69.0,77.0
31,2018-05-30,189.0,149.0
32,2018-05-31,79.0,64.0
33,2018-06-01,30.0,29.0
34,2018-06-02,69.0,56.0
35,2018-06-03,124.0,114.0
36,2018-06-04,159.0,139.0
37,2018-06-05,69.0,62.0
38,2018-06-06,32.0,30.0
39,2018-06-07,33.0,27.0
40,2018-06-08,8.0,5.0
41,2018-06-09,37.0,32.0
42,2018-06-10,141.0,130.0
43,2018-06-11,61.0,46.0
44,2018-06-12,42.0,35.0
45,2018-06-13,28.0,35.0
46,2018-06-14,116.0,92.0
47,2018-06-15,34.0,31.0
48,2018-06-17,94.0,75.0
49,2018-06-18,71.0,64.0
50,2018-06-19,117.0,94.0
51,2018-06-20,26.0,30.0
52,2018-06-21,21.0,24.0
53,2018-06-22,30.0,33.0
54,2018-06-23,66.0,55.0
55,2018-06-24,26.0,33.0
56,2018-06-25,18.0,14.0
57,2018-06-26,17.0,13.0
58,2018-06-27,30.0,18.0
59,2018-06-28,36.0,24.0
60,2018-06-29,33.0,20.0
61,2018-06-30,10.0,7.0
62,2018-07-01,26.0,12.0
573,2018-07-02,0.0,2.0
63,2018-07-03,17.0,15.0
64,2018-07-04,24.0,17.0
65,2018-07-05,26.0,23.0
66,2018-07-06,59.0,46.0
574,2018-07-07,0.0,1.0
67,2018-07-08,6.0,11.0
68,2018-07-09,17.0,16.0
69,2018-07-10,103.0,69.0
70,2018-07-11,51.0,36.0
71,2018-07-12,17.0,17.0
72,2018-07-13,35.0,18.0
73,2018-07-14,66.0,43.0
74,2018-07-15,54.0,43.0
75,2018-07-16,17.0,9.0
76,2018-07-17,22.0,23.0
77,2018-07-18,42.0,35.0
78,2018-07-19,6.0,1.0
79,2018-07-20,12.0,6.0
80,2018-07-21,41.0,34.0
81,2018-07-22,45.0,39.0
82,2018-07-23,11.0,8.0
83,2018-07-24,61.0,47.0
84,2018-07-25,95.0,96.0
85,2018-07-26,47.0,43.0
86,2018-07-27,22.0,14.0
87,2018-07-28,14.0,17.0
