,date,jodi_count,richard_count
17,2019-10-09,0.0,2.0
18,2019-10-30,0.0,2.0
0,2019-11-02,1.0,2.0
19,2019-11-03,0.0,1.0
1,2019-11-05,1.0,0.0
2,2019-11-07,1.0,0.0
20,2019-11-08,0.0,2.0
21,2019-11-10,0.0,1.0
22,2019-11-11,0.0,1.0
23,2019-11-12,0.0,1.0
3,2019-11-14,1.0,0.0
24,2019-11-15,0.0,2.0
4,2019-11-16,1.0,1.0
25,2019-11-17,0.0,1.0
26,2019-11-19,0.0,2.0
5,2019-11-23,1.0,0.0
27,2019-11-28,0.0,1.0
6,2019-11-29,1.0,0.0
28,2019-12-01,0.0,2.0
29,2019-12-03,0.0,1.0
30,2019-12-05,0.0,1.0
31,2019-12-06,0.0,1.0
7,2019-12-08,2.0,3.0
32,2019-12-09,0.0,1.0
33,2019-12-11,0.0,1.0
34,2019-12-14,0.0,3.0
8,2019-12-15,3.0,1.0
9,2019-12-19,1.0,0.0
10,2019-12-21,2.0,4.0
11,2019-12-22,4.0,8.0
35,2019-12-24,0.0,2.0
36,2020-01-08,0.0,1.0
12,2020-01-10,1.0,1.0
13,2020-01-12,2.0,1.0
37,2020-01-13,0.0,1.0
38,2020-01-17,0.0,1.0
39,2020-01-20,0.0,1.0
14,2020-01-23,1.0,0.0
15,2020-01-24,1.0,0.0
16,2020-01-25,1.0,1.0
40,2020-01-26,0.0,1.0
